city,city_tier,platform_type,month_of_year,shield_score,daily_earnings,weekly_earnings,renewal_count,historical_payout_count,claim_frequency,flood_risk_score,aqi_risk_score,heat_risk_score,rainfall_risk_score,traffic_disruption_risk,social_disruption_risk,historical_disruption_freq,is_monsoon,is_heat_season,is_holiday_period,weekly_premium
Surat,Tier 2,Construction Worker,5,76,521.0,3126.0,9,7,0.778,0.369,0.5,0.445,0.372,0.269,0.051,0.168,0,1,0,65
Bareilly,Tier 4,Construction Worker,7,78,567.0,3402.0,5,7,1.4,0.465,0.338,0.599,0.506,0.388,0.138,0.291,1,0,0,49
Nagpur,Tier 2,Gig Driver,1,62,853.0,5118.0,23,5,0.217,0.477,0.449,0.374,0.444,0.176,0.173,0.229,0,0,1,66
Bareilly,Tier 4,Gig Driver,5,78,1063.0,6378.0,20,0,0.0,0.47,0.319,0.608,0.506,0.492,0.111,0.332,0,1,0,58
Bangalore,Tier 1,Construction Worker,11,77,865.0,5190.0,12,5,0.417,0.434,0.568,0.37,0.472,0.575,0.009,0.345,0,0,1,84
Agra,Tier 3,Construction Worker,11,63,752.0,4512.0,5,0,0.0,0.561,0.545,0.414,0.565,0.551,0.153,0.115,0,0,1,60
Hyderabad,Tier 1,Domestic Worker,11,64,1056.0,6336.0,14,0,0.0,0.407,0.547,0.338,0.446,0.377,0.33,0.239,0,0,1,96
Hyderabad,Tier 1,Delivery Partner,4,77,731.0,4386.0,24,5,0.208,0.439,0.535,0.401,0.417,0.413,0.229,0.105,0,1,0,105
Nagpur,Tier 2,Gig Driver,10,73,1011.0,6066.0,1,2,2.0,0.381,0.407,0.467,0.351,0.321,0.065,0.105,0,0,1,65
Coimbatore,Tier 3,Last-Mile Logistics,6,66,441.0,2646.0,14,1,0.071,0.499,0.578,0.521,0.487,0.52,0.058,0.202,1,1,0,66
Gorakhpur,Tier 4,Grocery Rider,9,92,1102.0,6612.0,11,6,0.545,0.589,0.44,0.462,0.54,0.122,0.074,0.212,1,0,0,60
Surat,Tier 2,Construction Worker,5,67,1157.0,6942.0,7,1,0.143,0.461,0.424,0.319,0.432,0.163,0.049,0.206,0,1,0,74
Mumbai,Tier 1,Construction Worker,3,63,1192.0,7152.0,15,8,0.533,0.371,0.637,0.286,0.372,0.377,0.031,0.051,0,0,0,88
Patna,Tier 3,Domestic Worker,2,85,729.0,4374.0,8,4,0.5,0.522,0.554,0.406,0.503,0.189,0.039,0.337,0,0,0,54
Coimbatore,Tier 3,Grocery Rider,10,90,652.0,3912.0,9,7,0.778,0.498,0.509,0.424,0.466,0.499,0.271,0.214,0,0,1,55
Pune,Tier 2,Delivery Partner,3,81,458.0,2748.0,2,7,3.5,0.32,0.437,0.496,0.387,0.22,0.35,0.299,0,0,0,56
Kolkata,Tier 1,Construction Worker,8,65,728.0,4368.0,2,5,2.5,0.445,0.445,0.45,0.434,0.465,0.168,0.224,1,0,0,107
Nagpur,Tier 2,Construction Worker,2,77,1093.0,6558.0,17,8,0.471,0.265,0.523,0.335,0.28,0.374,0.161,0.206,0,0,0,64
Lucknow,Tier 2,Last-Mile Logistics,3,60,506.0,3036.0,22,2,0.091,0.29,0.587,0.52,0.352,0.596,0.083,0.157,0,0,0,74
Nagpur,Tier 2,Domestic Worker,4,69,735.0,4410.0,3,3,1.0,0.339,0.498,0.444,0.321,0.336,0.221,0.221,0,1,0,82
Hyderabad,Tier 1,Grocery Rider,8,80,420.0,2520.0,0,5,5.0,0.289,0.595,0.391,0.286,0.447,0.227,0.289,1,0,0,91
Muzaffarpur,Tier 4,Domestic Worker,6,80,791.0,4746.0,14,8,0.571,0.483,0.265,0.555,0.495,0.357,0.115,0.052,1,1,0,54
Hyderabad,Tier 1,Domestic Worker,2,49,988.0,5928.0,2,4,2.0,0.206,0.546,0.485,0.203,0.336,0.037,0.238,0,0,0,81
Patna,Tier 3,Construction Worker,12,45,817.0,4902.0,15,8,0.533,0.624,0.499,0.406,0.648,0.389,0.356,0.229,0,0,1,68
Indore,Tier 3,Gig Driver,10,68,1000.0,6000.0,2,2,1.0,0.628,0.593,0.445,0.592,0.199,0.099,0.142,0,0,1,67
Surat,Tier 2,Construction Worker,2,97,741.0,4446.0,14,7,0.5,0.404,0.37,0.322,0.381,0.359,0.086,0.135,0,0,0,57
Agra,Tier 3,Last-Mile Logistics,3,86,411.0,2466.0,24,8,0.333,0.562,0.617,0.6,0.599,0.11,0.062,0.316,0,0,0,49
Gorakhpur,Tier 4,Grocery Rider,3,99,930.0,5580.0,13,8,0.615,0.62,0.433,0.699,0.63,0.244,0.352,0.065,0,0,0,49
Delhi,Tier 1,Delivery Partner,9,76,605.0,3630.0,4,4,1.0,0.255,0.435,0.465,0.28,0.437,0.096,0.277,1,0,0,86
Kolkata,Tier 1,Grocery Rider,6,62,729.0,4374.0,22,3,0.136,0.252,0.644,0.411,0.32,0.252,0.313,0.28,1,1,0,106
Nagpur,Tier 2,Domestic Worker,5,60,937.0,5622.0,2,4,2.0,0.432,0.494,0.352,0.439,0.256,0.171,0.244,0,1,0,77
Pune,Tier 2,Construction Worker,9,61,724.0,4344.0,8,2,0.25,0.317,0.4,0.496,0.376,0.285,0.301,0.319,1,0,0,80
Lucknow,Tier 2,Domestic Worker,9,67,1165.0,6990.0,2,8,4.0,0.344,0.435,0.316,0.358,0.155,0.099,0.145,1,0,0,74
Kolkata,Tier 1,Domestic Worker,10,75,642.0,3852.0,4,2,0.5,0.415,0.614,0.441,0.388,0.445,0.378,0.255,0,0,1,98
Bareilly,Tier 4,Construction Worker,10,72,917.0,5502.0,10,0,0.0,0.578,0.23,0.528,0.6,0.531,0.055,0.336,0,0,1,49
Mumbai,Tier 1,Delivery Partner,1,86,1001.0,6006.0,20,4,0.2,0.403,0.636,0.328,0.449,0.166,0.282,0.273,0,0,1,80
Pune,Tier 2,Domestic Worker,7,58,1098.0,6588.0,19,0,0.0,0.292,0.363,0.479,0.31,0.525,0.153,0.1,1,0,0,90
Bhopal,Tier 3,Construction Worker,9,74,551.0,3306.0,9,4,0.444,0.58,0.578,0.551,0.568,0.514,0.332,0.263,1,0,0,84
Bhopal,Tier 3,Grocery Rider,11,86,690.0,4140.0,12,4,0.333,0.62,0.631,0.428,0.599,0.543,0.019,0.338,0,0,1,62
Coimbatore,Tier 3,Delivery Partner,12,84,616.0,3696.0,1,2,2.0,0.462,0.686,0.475,0.493,0.297,0.056,0.053,0,0,1,58
Coimbatore,Tier 3,Gig Driver,8,77,695.0,4170.0,14,3,0.214,0.489,0.536,0.53,0.484,0.54,0.202,0.202,1,0,0,73
Surat,Tier 2,Domestic Worker,3,69,931.0,5586.0,10,5,0.5,0.399,0.454,0.406,0.438,0.198,0.328,0.245,0,0,0,67
Nagpur,Tier 2,Gig Driver,3,57,605.0,3630.0,24,5,0.208,0.438,0.478,0.38,0.454,0.598,0.174,0.326,0,0,0,65
Agra,Tier 3,Domestic Worker,2,66,563.0,3378.0,10,3,0.3,0.505,0.505,0.4,0.546,0.522,0.297,0.1,0,0,0,56
Coimbatore,Tier 3,Delivery Partner,5,75,744.0,4464.0,14,3,0.214,0.43,0.578,0.487,0.424,0.411,0.287,0.083,0,1,0,68
Hyderabad,Tier 1,Delivery Partner,1,87,673.0,4038.0,9,6,0.667,0.311,0.569,0.377,0.366,0.533,0.004,0.283,0,0,1,74
Bareilly,Tier 4,Gig Driver,4,75,787.0,4722.0,5,5,1.0,0.697,0.389,0.512,0.681,0.596,0.343,0.079,0,1,0,65
Gorakhpur,Tier 4,Construction Worker,6,60,406.0,2436.0,6,2,0.333,0.551,0.259,0.655,0.53,0.514,0.0,0.142,1,1,0,56
Bhopal,Tier 3,Domestic Worker,8,62,455.0,2730.0,15,4,0.267,0.447,0.589,0.473,0.444,0.288,0.35,0.322,1,0,0,64
Bhopal,Tier 3,Delivery Partner,2,47,485.0,2910.0,12,8,0.667,0.638,0.465,0.474,0.604,0.26,0.066,0.285,0,0,0,53
Coimbatore,Tier 3,Grocery Rider,4,75,499.0,2994.0,18,5,0.278,0.418,0.677,0.448,0.458,0.372,0.031,0.337,0,1,0,57
Delhi,Tier 1,Delivery Partner,5,79,535.0,3210.0,15,7,0.467,0.413,0.403,0.378,0.449,0.567,0.364,0.296,0,1,0,92
Lucknow,Tier 2,Domestic Worker,1,70,627.0,3762.0,3,6,2.0,0.322,0.444,0.398,0.344,0.18,0.276,0.1,0,0,1,57
Hyderabad,Tier 1,Last-Mile Logistics,12,72,1037.0,6222.0,11,6,0.545,0.385,0.561,0.289,0.401,0.144,0.151,0.174,0,0,1,75
Nagpur,Tier 2,Delivery Partner,7,67,543.0,3258.0,1,8,8.0,0.348,0.587,0.335,0.39,0.154,0.393,0.164,1,0,0,76
Pune,Tier 2,Last-Mile Logistics,9,63,902.0,5412.0,9,1,0.111,0.298,0.387,0.535,0.36,0.544,0.25,0.292,1,0,0,92
Patna,Tier 3,Domestic Worker,8,69,651.0,3906.0,24,8,0.333,0.559,0.539,0.437,0.563,0.507,0.153,0.09,1,0,0,73
Jaipur,Tier 2,Domestic Worker,11,64,640.0,3840.0,19,1,0.053,0.411,0.5,0.474,0.406,0.512,0.082,0.191,0,0,1,68
Hyderabad,Tier 1,Delivery Partner,7,65,488.0,2928.0,11,5,0.455,0.421,0.486,0.421,0.381,0.445,0.126,0.067,1,0,0,103
Muzaffarpur,Tier 4,Last-Mile Logistics,3,55,709.0,4254.0,6,8,1.333,0.47,0.237,0.524,0.432,0.555,0.002,0.195,0,0,0,49
Patna,Tier 3,Domestic Worker,1,67,1141.0,6846.0,1,0,0.0,0.44,0.691,0.451,0.47,0.373,0.354,0.216,0,0,1,66
Hyderabad,Tier 1,Construction Worker,6,55,533.0,3198.0,15,8,0.533,0.429,0.482,0.343,0.462,0.269,0.381,0.271,1,1,0,101
Coimbatore,Tier 3,Grocery Rider,10,83,440.0,2640.0,16,2,0.125,0.464,0.566,0.457,0.492,0.56,0.17,0.153,0,0,1,53
Surat,Tier 2,Domestic Worker,6,71,791.0,4746.0,5,6,1.2,0.338,0.577,0.442,0.38,0.506,0.137,0.18,1,1,0,93
Bareilly,Tier 4,Construction Worker,5,67,1035.0,6210.0,18,5,0.278,0.685,0.356,0.635,0.697,0.523,0.158,0.065,0,1,0,70
Agra,Tier 3,Domestic Worker,9,92,760.0,4560.0,15,4,0.267,0.587,0.539,0.559,0.547,0.475,0.218,0.111,1,0,0,73
Bhopal,Tier 3,Delivery Partner,6,84,786.0,4716.0,10,1,0.1,0.454,0.692,0.579,0.504,0.314,0.19,0.319,1,1,0,73
Indore,Tier 3,Domestic Worker,5,94,602.0,3612.0,23,0,0.0,0.512,0.481,0.451,0.461,0.12,0.391,0.123,0,1,0,55
Bareilly,Tier 4,Gig Driver,5,83,841.0,5046.0,20,3,0.15,0.488,0.382,0.6,0.512,0.485,0.39,0.222,0,1,0,58
Delhi,Tier 1,Domestic Worker,8,86,455.0,2730.0,5,8,1.6,0.424,0.43,0.332,0.463,0.399,0.157,0.192,1,0,0,81
Bareilly,Tier 4,Gig Driver,3,67,1096.0,6576.0,21,3,0.143,0.472,0.394,0.662,0.443,0.315,0.066,0.262,0,0,0,52
Delhi,Tier 1,Domestic Worker,12,98,557.0,3342.0,3,3,1.0,0.253,0.41,0.331,0.284,0.529,0.267,0.181,0,0,1,67
Mumbai,Tier 1,Gig Driver,6,72,607.0,3642.0,13,2,0.154,0.213,0.582,0.28,0.222,0.366,0.226,0.23,1,1,0,90
Indore,Tier 3,Construction Worker,4,67,894.0,5364.0,13,8,0.615,0.642,0.632,0.631,0.654,0.396,0.077,0.25,0,1,0,79
Bareilly,Tier 4,Gig Driver,12,88,792.0,4752.0,23,0,0.0,0.582,0.284,0.58,0.544,0.503,0.074,0.075,0,0,1,49
Hyderabad,Tier 1,Domestic Worker,4,95,750.0,4500.0,17,5,0.294,0.269,0.54,0.337,0.335,0.561,0.201,0.148,0,1,0,85
Bhopal,Tier 3,Domestic Worker,7,47,1136.0,6816.0,10,2,0.2,0.403,0.588,0.585,0.411,0.143,0.389,0.205,1,0,0,79
Coimbatore,Tier 3,Domestic Worker,6,55,787.0,4722.0,17,5,0.294,0.507,0.469,0.427,0.54,0.22,0.078,0.201,1,1,0,66
Jaipur,Tier 2,Domestic Worker,8,60,429.0,2574.0,6,3,0.5,0.263,0.559,0.329,0.241,0.319,0.338,0.129,1,0,0,71
Jaipur,Tier 2,Domestic Worker,5,65,759.0,4554.0,7,4,0.571,0.394,0.493,0.383,0.386,0.153,0.147,0.08,0,1,0,69
Lucknow,Tier 2,Construction Worker,4,91,628.0,3768.0,22,7,0.318,0.408,0.464,0.421,0.443,0.241,0.127,0.327,0,1,0,67
Surat,Tier 2,Gig Driver,6,71,1130.0,6780.0,17,4,0.235,0.403,0.487,0.362,0.397,0.526,0.224,0.204,1,1,0,96
Lucknow,Tier 2,Delivery Partner,10,70,883.0,5298.0,21,8,0.381,0.27,0.521,0.533,0.301,0.163,0.233,0.28,0,0,1,66
Patna,Tier 3,Gig Driver,6,83,919.0,5514.0,24,2,0.083,0.625,0.606,0.433,0.593,0.201,0.364,0.278,1,1,0,78
Lucknow,Tier 2,Delivery Partner,5,57,547.0,3282.0,22,1,0.045,0.439,0.469,0.356,0.457,0.12,0.13,0.191,0,1,0,69
Nagpur,Tier 2,Gig Driver,11,67,563.0,3378.0,8,7,0.875,0.442,0.456,0.441,0.4,0.117,0.178,0.295,0,0,1,59
Pune,Tier 2,Grocery Rider,9,82,710.0,4260.0,8,8,1.0,0.457,0.383,0.534,0.486,0.571,0.271,0.159,1,0,0,91
Jaipur,Tier 2,Grocery Rider,2,70,666.0,3996.0,19,3,0.158,0.425,0.541,0.532,0.403,0.499,0.295,0.069,0,0,0,79
Ahmedabad,Tier 2,Delivery Partner,11,53,644.0,3864.0,16,3,0.188,0.496,0.511,0.479,0.544,0.289,0.321,0.18,0,0,1,73
Ahmedabad,Tier 2,Delivery Partner,2,69,1158.0,6948.0,13,5,0.385,0.305,0.432,0.489,0.314,0.404,0.178,0.273,0,0,0,72
Bhopal,Tier 3,Delivery Partner,11,69,534.0,3204.0,24,2,0.083,0.489,0.55,0.414,0.498,0.542,0.061,0.229,0,0,1,49
Mumbai,Tier 1,Domestic Worker,3,61,961.0,5766.0,13,7,0.538,0.303,0.526,0.252,0.342,0.431,0.015,0.16,0,0,0,82
Bhopal,Tier 3,Construction Worker,4,71,802.0,4812.0,24,4,0.167,0.627,0.629,0.546,0.644,0.532,0.183,0.193,0,1,0,83
Surat,Tier 2,Last-Mile Logistics,11,76,958.0,5748.0,1,1,1.0,0.271,0.566,0.42,0.251,0.375,0.167,0.313,0,0,1,65
Gorakhpur,Tier 4,Grocery Rider,9,78,846.0,5076.0,23,0,0.0,0.464,0.443,0.578,0.447,0.335,0.343,0.141,1,0,0,57
Kolkata,Tier 1,Gig Driver,3,68,638.0,3828.0,1,6,6.0,0.395,0.518,0.307,0.372,0.266,0.376,0.153,0,0,0,79
Bhopal,Tier 3,Grocery Rider,12,71,543.0,3258.0,9,0,0.0,0.623,0.565,0.577,0.659,0.125,0.039,0.266,0,0,1,57
Mumbai,Tier 1,Last-Mile Logistics,10,61,431.0,2586.0,19,1,0.053,0.205,0.594,0.284,0.231,0.403,0.171,0.058,0,0,1,65
Surat,Tier 2,Last-Mile Logistics,8,76,746.0,4476.0,20,8,0.4,0.384,0.469,0.397,0.434,0.547,0.134,0.235,1,0,0,84
Agra,Tier 3,Gig Driver,3,35,623.0,3738.0,16,7,0.438,0.64,0.486,0.545,0.604,0.24,0.162,0.35,0,0,0,61
Jaipur,Tier 2,Grocery Rider,2,73,466.0,2796.0,10,2,0.2,0.289,0.46,0.428,0.286,0.258,0.035,0.141,0,0,0,50
Coimbatore,Tier 3,Construction Worker,5,81,1128.0,6768.0,22,2,0.091,0.402,0.653,0.637,0.371,0.181,0.384,0.211,0,1,0,68
Mumbai,Tier 1,Construction Worker,6,94,987.0,5922.0,9,3,0.333,0.449,0.472,0.385,0.457,0.303,0.068,0.343,1,1,0,98
Kolkata,Tier 1,Domestic Worker,11,71,883.0,5298.0,12,6,0.5,0.257,0.536,0.424,0.283,0.595,0.245,0.161,0,0,1,94
Agra,Tier 3,Last-Mile Logistics,2,64,708.0,4248.0,12,1,0.083,0.487,0.558,0.595,0.487,0.497,0.231,0.153,0,0,0,64
Kolkata,Tier 1,Grocery Rider,8,64,580.0,3480.0,10,3,0.3,0.326,0.465,0.252,0.358,0.356,0.178,0.34,1,0,0,87
Mumbai,Tier 1,Last-Mile Logistics,7,84,512.0,3072.0,7,7,1.0,0.342,0.617,0.396,0.38,0.286,0.037,0.187,1,0,0,92
Jaipur,Tier 2,Last-Mile Logistics,5,83,595.0,3570.0,18,0,0.0,0.492,0.59,0.362,0.478,0.548,0.387,0.183,0,1,0,87
Jaipur,Tier 2,Construction Worker,6,75,950.0,5700.0,22,3,0.136,0.318,0.534,0.313,0.291,0.293,0.141,0.145,1,1,0,72
Delhi,Tier 1,Construction Worker,2,47,554.0,3324.0,14,4,0.286,0.277,0.644,0.353,0.294,0.388,0.393,0.122,0,0,0,84
Kolkata,Tier 1,Gig Driver,11,85,886.0,5316.0,16,4,0.25,0.222,0.569,0.266,0.259,0.47,0.084,0.302,0,0,1,75
Chennai,Tier 1,Construction Worker,5,54,507.0,3042.0,11,3,0.273,0.438,0.418,0.3,0.429,0.41,0.218,0.088,0,1,0,88
Ahmedabad,Tier 2,Grocery Rider,8,60,571.0,3426.0,4,7,1.75,0.353,0.526,0.354,0.354,0.295,0.391,0.336,1,0,0,77
Bareilly,Tier 4,Last-Mile Logistics,7,64,454.0,2724.0,22,8,0.364,0.529,0.267,0.576,0.554,0.529,0.338,0.158,1,0,0,57
Bhopal,Tier 3,Domestic Worker,11,58,449.0,2694.0,6,3,0.5,0.575,0.452,0.502,0.55,0.447,0.306,0.141,0,0,1,61
Bareilly,Tier 4,Delivery Partner,9,64,757.0,4542.0,14,8,0.571,0.632,0.373,0.697,0.591,0.431,0.244,0.325,1,0,0,70
Nagpur,Tier 2,Delivery Partner,10,77,855.0,5130.0,3,0,0.0,0.319,0.469,0.383,0.345,0.545,0.228,0.24,0,0,1,64
Muzaffarpur,Tier 4,Domestic Worker,4,64,586.0,3516.0,18,8,0.444,0.573,0.278,0.495,0.566,0.261,0.103,0.189,0,1,0,49
Hyderabad,Tier 1,Grocery Rider,6,76,485.0,2910.0,16,7,0.438,0.394,0.602,0.442,0.366,0.422,0.334,0.223,1,1,0,109
Chennai,Tier 1,Construction Worker,4,64,823.0,4938.0,22,7,0.318,0.209,0.56,0.27,0.232,0.246,0.218,0.09,0,1,0,85
Bangalore,Tier 1,Domestic Worker,8,83,531.0,3186.0,1,7,7.0,0.226,0.436,0.469,0.256,0.334,0.043,0.245,1,0,0,80
Hyderabad,Tier 1,Domestic Worker,7,73,901.0,5406.0,14,0,0.0,0.219,0.428,0.262,0.223,0.168,0.104,0.166,1,0,0,73
Muzaffarpur,Tier 4,Gig Driver,11,73,1068.0,6408.0,9,0,0.0,0.628,0.228,0.634,0.593,0.42,0.136,0.349,0,0,1,53
Patna,Tier 3,Last-Mile Logistics,1,61,1145.0,6870.0,23,3,0.13,0.406,0.624,0.581,0.449,0.587,0.39,0.07,0,0,1,70
Gorakhpur,Tier 4,Delivery Partner,1,77,918.0,5508.0,13,5,0.385,0.482,0.363,0.696,0.525,0.32,0.016,0.159,0,0,1,49
Bangalore,Tier 1,Domestic Worker,1,78,767.0,4602.0,2,7,3.5,0.214,0.507,0.367,0.285,0.421,0.125,0.208,0,0,1,72
Delhi,Tier 1,Last-Mile Logistics,7,67,684.0,4104.0,5,2,0.4,0.371,0.566,0.429,0.361,0.258,0.05,0.247,1,0,0,93
Indore,Tier 3,Last-Mile Logistics,7,73,1096.0,6576.0,14,6,0.429,0.623,0.562,0.515,0.568,0.435,0.329,0.123,1,0,0,90
Patna,Tier 3,Delivery Partner,11,86,1102.0,6612.0,21,8,0.381,0.461,0.588,0.448,0.425,0.556,0.328,0.278,0,0,1,62
Hyderabad,Tier 1,Construction Worker,6,48,837.0,5022.0,3,2,0.667,0.223,0.589,0.396,0.219,0.194,0.074,0.067,1,1,0,89
Muzaffarpur,Tier 4,Gig Driver,9,85,414.0,2484.0,4,3,0.75,0.462,0.343,0.655,0.448,0.275,0.239,0.132,1,0,0,49
Mumbai,Tier 1,Delivery Partner,5,86,993.0,5958.0,14,8,0.571,0.369,0.451,0.338,0.345,0.165,0.27,0.308,0,1,0,88
Indore,Tier 3,Domestic Worker,7,73,547.0,3282.0,7,3,0.429,0.426,0.653,0.545,0.445,0.491,0.281,0.3,1,0,0,76
Coimbatore,Tier 3,Last-Mile Logistics,3,66,912.0,5472.0,8,3,0.375,0.479,0.689,0.408,0.489,0.183,0.285,0.103,0,0,0,62
Chennai,Tier 1,Delivery Partner,11,71,1132.0,6792.0,13,0,0.0,0.253,0.436,0.44,0.278,0.556,0.059,0.244,0,0,1,81
Ahmedabad,Tier 2,Grocery Rider,2,64,947.0,5682.0,3,0,0.0,0.398,0.539,0.377,0.403,0.303,0.394,0.138,0,0,0,73
Coimbatore,Tier 3,Domestic Worker,11,60,852.0,5112.0,22,0,0.0,0.463,0.679,0.466,0.506,0.152,0.263,0.322,0,0,1,55
Ahmedabad,Tier 2,Construction Worker,1,79,941.0,5646.0,12,7,0.583,0.325,0.397,0.376,0.302,0.172,0.042,0.177,0,0,1,52
Ahmedabad,Tier 2,Domestic Worker,4,66,504.0,3024.0,24,0,0.0,0.411,0.399,0.324,0.387,0.562,0.329,0.156,0,1,0,75
Hyderabad,Tier 1,Domestic Worker,5,77,942.0,5652.0,7,5,0.714,0.371,0.557,0.317,0.338,0.328,0.356,0.221,0,1,0,105
Gorakhpur,Tier 4,Domestic Worker,11,78,939.0,5634.0,10,3,0.3,0.695,0.446,0.622,0.65,0.499,0.043,0.284,0,0,1,53
Lucknow,Tier 2,Grocery Rider,11,69,905.0,5430.0,16,3,0.188,0.358,0.459,0.378,0.398,0.568,0.376,0.102,0,0,1,77
Indore,Tier 3,Last-Mile Logistics,5,76,602.0,3612.0,1,8,8.0,0.417,0.517,0.628,0.439,0.461,0.103,0.266,0,1,0,63
Gorakhpur,Tier 4,Construction Worker,3,71,901.0,5406.0,20,6,0.3,0.487,0.406,0.509,0.504,0.303,0.238,0.082,0,0,0,49
Muzaffarpur,Tier 4,Gig Driver,1,81,1199.0,7194.0,11,6,0.545,0.503,0.266,0.616,0.549,0.558,0.201,0.289,0,0,1,49
Agra,Tier 3,Last-Mile Logistics,12,64,617.0,3702.0,13,6,0.462,0.604,0.545,0.422,0.578,0.591,0.252,0.175,0,0,1,62
Hyderabad,Tier 1,Last-Mile Logistics,7,65,456.0,2736.0,5,8,1.6,0.214,0.43,0.395,0.285,0.348,0.337,0.184,1,0,0,85
Bhopal,Tier 3,Grocery Rider,4,84,539.0,3234.0,9,2,0.222,0.49,0.609,0.418,0.477,0.367,0.398,0.192,0,1,0,66
Coimbatore,Tier 3,Delivery Partner,9,68,1037.0,6222.0,13,6,0.462,0.549,0.672,0.503,0.555,0.415,0.167,0.093,1,0,0,92
Muzaffarpur,Tier 4,Domestic Worker,3,67,569.0,3414.0,12,3,0.25,0.634,0.28,0.577,0.587,0.58,0.341,0.309,0,0,0,51
Jaipur,Tier 2,Grocery Rider,6,89,515.0,3090.0,20,1,0.05,0.252,0.355,0.447,0.272,0.359,0.003,0.177,1,1,0,55
Coimbatore,Tier 3,Last-Mile Logistics,2,66,986.0,5916.0,17,3,0.176,0.458,0.653,0.547,0.433,0.218,0.251,0.299,0,0,0,68
Delhi,Tier 1,Last-Mile Logistics,7,53,1094.0,6564.0,21,0,0.0,0.367,0.512,0.372,0.351,0.413,0.143,0.349,1,0,0,114
Bangalore,Tier 1,Grocery Rider,10,47,853.0,5118.0,23,8,0.348,0.429,0.6,0.363,0.458,0.393,0.197,0.108,0,0,1,88
Pune,Tier 2,Gig Driver,4,52,1132.0,6792.0,10,4,0.4,0.334,0.588,0.433,0.364,0.371,0.052,0.163,0,1,0,86
Mumbai,Tier 1,Grocery Rider,4,74,757.0,4542.0,23,1,0.043,0.394,0.455,0.291,0.395,0.563,0.284,0.176,0,1,0,96
Bhopal,Tier 3,Grocery Rider,12,61,1188.0,7128.0,19,3,0.158,0.567,0.521,0.546,0.521,0.583,0.07,0.244,0,0,1,71
Patna,Tier 3,Grocery Rider,9,81,1021.0,6126.0,10,4,0.4,0.568,0.604,0.623,0.519,0.265,0.099,0.346,1,0,0,78
Patna,Tier 3,Gig Driver,9,89,948.0,5688.0,20,5,0.25,0.453,0.51,0.47,0.449,0.217,0.008,0.314,1,0,0,58
Lucknow,Tier 2,Last-Mile Logistics,6,71,671.0,4026.0,16,7,0.438,0.252,0.52,0.506,0.241,0.18,0.316,0.235,1,1,0,77
Coimbatore,Tier 3,Delivery Partner,12,73,647.0,3882.0,15,5,0.333,0.492,0.642,0.603,0.483,0.574,0.163,0.282,0,0,1,64
Pune,Tier 2,Last-Mile Logistics,6,83,1126.0,6756.0,13,0,0.0,0.272,0.584,0.506,0.324,0.2,0.322,0.305,1,1,0,88
Gorakhpur,Tier 4,Grocery Rider,12,72,440.0,2640.0,4,0,0.0,0.487,0.334,0.594,0.503,0.108,0.384,0.063,0,0,1,49
Jaipur,Tier 2,Domestic Worker,10,80,933.0,5598.0,18,6,0.333,0.456,0.353,0.436,0.456,0.349,0.029,0.255,0,0,1,63
Lucknow,Tier 2,Grocery Rider,4,91,788.0,4728.0,10,3,0.3,0.287,0.512,0.343,0.346,0.407,0.063,0.339,0,1,0,64
Patna,Tier 3,Domestic Worker,4,62,901.0,5406.0,15,8,0.533,0.463,0.651,0.604,0.515,0.351,0.182,0.276,0,1,0,75
Surat,Tier 2,Last-Mile Logistics,8,73,837.0,5022.0,23,7,0.304,0.272,0.454,0.513,0.33,0.15,0.036,0.129,1,0,0,67
Coimbatore,Tier 3,Grocery Rider,12,65,899.0,5394.0,11,2,0.182,0.489,0.647,0.458,0.504,0.218,0.285,0.312,0,0,1,62
Hyderabad,Tier 1,Construction Worker,9,60,742.0,4452.0,15,2,0.133,0.24,0.575,0.44,0.227,0.353,0.326,0.331,1,0,0,104
Muzaffarpur,Tier 4,Construction Worker,1,79,829.0,4974.0,16,0,0.0,0.549,0.412,0.573,0.541,0.345,0.339,0.3,0,0,1,49
Bangalore,Tier 1,Construction Worker,1,51,794.0,4764.0,24,0,0.0,0.343,0.46,0.448,0.357,0.267,0.043,0.122,0,0,1,74
Indore,Tier 3,Grocery Rider,11,70,535.0,3210.0,7,1,0.143,0.515,0.527,0.409,0.496,0.372,0.221,0.157,0,0,1,54
Hyderabad,Tier 1,Delivery Partner,4,78,702.0,4212.0,16,7,0.438,0.265,0.461,0.364,0.314,0.203,0.284,0.056,0,1,0,75
Nagpur,Tier 2,Delivery Partner,10,89,671.0,4026.0,20,7,0.35,0.391,0.401,0.485,0.357,0.526,0.079,0.312,0,0,1,60
Bhopal,Tier 3,Delivery Partner,1,87,655.0,3930.0,17,8,0.471,0.626,0.482,0.445,0.613,0.141,0.078,0.333,0,0,1,49
Indore,Tier 3,Delivery Partner,1,71,1139.0,6834.0,16,4,0.25,0.536,0.517,0.576,0.548,0.595,0.106,0.252,0,0,1,72
Muzaffarpur,Tier 4,Last-Mile Logistics,1,79,808.0,4848.0,16,6,0.375,0.525,0.238,0.521,0.51,0.478,0.216,0.073,0,0,1,49
Kolkata,Tier 1,Delivery Partner,2,80,910.0,5460.0,16,2,0.125,0.4,0.517,0.34,0.371,0.538,0.313,0.1,0,0,0,91
Ahmedabad,Tier 2,Grocery Rider,10,40,900.0,5400.0,16,4,0.25,0.487,0.495,0.435,0.443,0.131,0.075,0.06,0,0,1,77
