city_tier,month_of_year,hour_of_day,day_of_week,is_monsoon,is_heat_season,rainfall_score,aqi_score,heat_score,order_drop_score,social_score,prev_rainfall,prev_aqi,prev_heat,hist_avg_rainfall,hist_avg_aqi,current_dcs,prev_dcs,hist_avg_dcs,dcs_trend,forecast_dcs,disruption_probability
Tier 2,2,22,3,0,0,0.33,0.4404,0.3472,0.2212,0.0019,0.3639,0.5127,0.3046,0.33,0.42,34,36,36,-2,36,0.17
Tier 3,1,21,2,0,0,0.4062,0.5075,0.4182,0.2399,0.1618,0.3691,0.4764,0.4212,0.48,0.52,44,42,49,2,43,0.209
Tier 1,3,3,1,0,0,0.3232,0.5268,0.2873,0.2168,0.0498,0.3762,0.4949,0.3014,0.28,0.48,34,35,32,-1,34,0.152
Tier 3,9,4,3,1,0,0.578,0.3471,0.4275,0.3626,0.2555,0.5493,0.3321,0.4089,0.552,0.598,61,57,71,4,74,0.735
Tier 2,10,19,1,0,0,0.3464,0.3399,0.386,0.0818,0.1906,0.3567,0.2861,0.4507,0.33,0.42,36,32,36,4,35,0.143
Tier 1,6,12,1,1,1,0.4777,0.3818,0.2992,0.1159,0.063,0.5035,0.3845,0.303,0.322,0.552,42,42,46,0,42,0.173
Tier 3,2,12,3,0,0,0.4444,0.5245,0.4456,0.2606,0.2217,0.4243,0.4711,0.4682,0.48,0.52,48,46,49,2,47,0.254
Tier 3,12,14,0,0,0,0.4817,0.6635,0.4029,0.2448,0.238,0.4874,0.6938,0.4097,0.48,0.52,52,59,49,-7,59,0.575
Tier 4,4,11,4,0,1,0.4474,0.3178,0.6674,0.3136,0.1067,0.407,0.3462,0.7,0.52,0.28,49,49,49,0,49,0.25
Tier 4,8,15,3,1,0,0.6767,0.3065,0.5492,0.3904,0.2719,0.6222,0.2861,0.4733,0.598,0.322,71,73,70,-2,83,0.856
Tier 3,12,13,5,0,0,0.5641,0.4483,0.5265,0.2871,0.1686,0.5533,0.4228,0.5783,0.48,0.52,51,56,49,-5,55,0.524
Tier 2,3,14,4,0,0,0.3839,0.3837,0.3477,0.2214,0.1924,0.3291,0.4039,0.3292,0.33,0.42,37,39,36,-2,34,0.208
Tier 1,6,20,0,1,1,0.5231,0.4092,0.3593,0.2293,0.035,0.4566,0.4502,0.3185,0.322,0.552,53,47,46,6,59,0.522
Tier 1,5,9,2,0,1,0.2524,0.4656,0.4164,0.1105,0.1906,0.2629,0.489,0.4109,0.28,0.48,36,34,32,2,31,0.188
Tier 2,7,14,1,1,0,0.5718,0.5127,0.4969,0.2242,0.2083,0.465,0.5748,0.4678,0.3795,0.483,62,65,52,-3,72,0.746
Tier 2,4,14,0,0,1,0.4253,0.3969,0.4648,0.3288,0.1716,0.5022,0.4315,0.4118,0.33,0.42,42,49,36,-7,40,0.208
Tier 2,9,2,0,1,0,0.4329,0.3712,0.5123,0.2343,0.1295,0.5055,0.3554,0.5087,0.3795,0.483,51,54,52,-3,51,0.452
Tier 3,3,17,3,0,0,0.4238,0.4632,0.4895,0.2434,0.3095,0.3815,0.5193,0.4983,0.48,0.52,52,48,49,4,43,0.54
Tier 4,2,18,1,0,0,0.5043,0.212,0.5476,0.453,0.0596,0.4829,0.1622,0.5504,0.52,0.28,51,44,49,7,59,0.569
Tier 3,6,22,2,1,1,0.8397,0.4756,0.5207,0.3136,0.2766,0.8722,0.5399,0.5117,0.552,0.598,79,82,71,-3,89,0.92
Tier 4,4,11,6,0,1,0.5782,0.3429,0.7006,0.3647,0.2677,0.4997,0.3513,0.7027,0.52,0.28,58,55,49,3,65,0.643
Tier 4,11,8,3,0,0,0.5878,0.3084,0.529,0.3081,0.2689,0.596,0.2782,0.5268,0.52,0.28,57,52,49,5,64,0.643
Tier 1,6,12,5,1,1,0.5415,0.5543,0.5142,0.1448,0.0365,0.5198,0.6324,0.5255,0.322,0.552,56,60,46,-4,66,0.618
Tier 4,4,18,6,0,1,0.5145,0.2336,0.6011,0.3801,0.2833,0.6123,0.2162,0.587,0.52,0.28,55,53,49,2,63,0.574
Tier 2,2,4,6,0,0,0.2759,0.4772,0.403,0.2655,0.087,0.2008,0.4422,0.4305,0.33,0.42,36,35,36,1,40,0.205
Tier 3,5,12,5,0,1,0.3964,0.5328,0.6818,0.1345,0.2187,0.4433,0.5488,0.6794,0.48,0.52,50,51,49,-1,44,0.479
Tier 3,12,3,6,0,0,0.455,0.5268,0.4466,0.2279,0.2256,0.4698,0.5052,0.4668,0.48,0.52,48,48,49,0,48,0.222
Tier 2,10,12,6,0,0,0.2597,0.4113,0.2982,0.2034,0.1232,0.1611,0.4325,0.2909,0.33,0.42,31,29,36,2,31,0.191
Tier 2,8,23,5,1,0,0.5221,0.42,0.2856,0.2944,0.1313,0.4819,0.4495,0.1984,0.3795,0.483,52,54,52,-2,61,0.518
Tier 4,9,16,6,1,0,0.695,0.1594,0.5629,0.3426,0.2037,0.6843,0.16,0.5891,0.598,0.322,65,64,70,1,77,0.815
Tier 1,6,23,0,1,1,0.4923,0.5445,0.4718,0.2467,0.1844,0.5156,0.5146,0.4666,0.322,0.552,57,63,46,-6,58,0.63
Tier 1,7,9,2,1,0,0.4281,0.5324,0.3426,0.1373,0.1363,0.4218,0.4968,0.3141,0.322,0.552,53,46,46,7,54,0.576
Tier 1,12,19,5,0,0,0.3749,0.4045,0.3413,0.2298,0.0943,0.4244,0.4924,0.3551,0.28,0.48,38,39,32,-1,38,0.114
Tier 1,10,16,4,0,0,0.2798,0.4563,0.3438,0.1684,0.0949,0.2453,0.4857,0.41,0.28,0.48,32,32,32,0,30,0.159
Tier 1,8,20,0,1,0,0.5503,0.4062,0.2877,0.0511,0.1825,0.5603,0.3877,0.2348,0.322,0.552,51,44,46,7,58,0.523
Tier 1,9,16,2,1,0,0.6026,0.4591,0.2623,0.2029,0.0265,0.6714,0.5153,0.2557,0.322,0.552,50,53,46,-3,60,0.512
Tier 3,7,12,4,1,0,0.7424,0.4578,0.5407,0.3171,0.1495,0.6989,0.4625,0.4983,0.552,0.598,73,70,71,3,85,0.898
Tier 2,6,2,0,1,1,0.4964,0.4138,0.5948,0.1485,0.1153,0.4663,0.4123,0.5674,0.3795,0.483,56,52,52,4,63,0.627
Tier 3,1,17,6,0,0,0.4927,0.503,0.4769,0.2542,0.2116,0.4968,0.4562,0.4871,0.48,0.52,54,47,49,7,47,0.577
Tier 1,9,11,5,1,0,0.4083,0.4802,0.3547,0.2702,0.0075,0.4473,0.4854,0.3367,0.322,0.552,47,48,46,-1,52,0.205
Tier 2,9,11,6,1,0,0.492,0.4766,0.4691,0.2179,0.0,0.4841,0.4779,0.4598,0.3795,0.483,54,54,52,0,59,0.545
Tier 1,3,7,0,0,0,0.3542,0.573,0.2652,0.1252,0.1246,0.3067,0.5533,0.3093,0.28,0.48,39,35,32,4,37,0.177
Tier 2,12,9,2,0,0,0.3331,0.411,0.3718,0.2186,0.0841,0.3444,0.3546,0.3431,0.33,0.42,39,32,36,7,39,0.133
Tier 3,11,5,5,0,0,0.5202,0.4424,0.4557,0.3111,0.3119,0.5248,0.3631,0.4939,0.48,0.52,50,49,49,1,57,0.433
Tier 1,12,2,4,0,0,0.2804,0.4554,0.3933,0.2236,0.0024,0.3309,0.4734,0.3314,0.28,0.48,33,34,32,-1,27,0.206
Tier 3,7,12,3,1,0,0.5892,0.4725,0.4234,0.3626,0.1505,0.5427,0.4903,0.4499,0.552,0.598,65,64,71,1,76,0.78
Tier 3,3,15,4,0,0,0.5805,0.5887,0.545,0.3276,0.2112,0.5307,0.614,0.5495,0.48,0.52,58,64,49,-6,65,0.609
Tier 1,4,13,4,0,1,0.2747,0.4465,0.4851,0.1551,0.0834,0.293,0.4292,0.49,0.28,0.48,34,36,32,-2,33,0.133
Tier 3,9,22,6,1,0,0.7547,0.5785,0.4639,0.4599,0.2546,0.7168,0.6083,0.4665,0.552,0.598,80,78,71,2,93,0.882
Tier 2,8,15,4,1,0,0.5239,0.3647,0.3351,0.2124,0.1633,0.4204,0.3654,0.3053,0.3795,0.483,50,52,52,-2,59,0.448
Tier 4,11,12,3,0,0,0.527,0.2677,0.6383,0.45,0.2719,0.5035,0.2948,0.6489,0.52,0.28,54,53,49,1,63,0.583
Tier 2,6,20,1,1,1,0.5239,0.384,0.4824,0.239,0.0351,0.5555,0.3418,0.4,0.3795,0.483,59,52,52,7,67,0.714
Tier 1,12,14,0,0,0,0.3913,0.388,0.2626,0.127,0.1561,0.4568,0.3448,0.3192,0.28,0.48,32,37,32,-5,26,0.156
Tier 2,3,6,2,0,0,0.3233,0.4011,0.4031,0.1596,0.087,0.3408,0.4548,0.4022,0.33,0.42,34,37,36,-3,34,0.141
Tier 2,9,14,6,1,0,0.4834,0.3786,0.4957,0.2505,0.1678,0.498,0.3258,0.5732,0.3795,0.483,54,61,52,-7,51,0.603
Tier 3,2,2,1,0,0,0.4586,0.4406,0.4228,0.2041,0.1031,0.461,0.4252,0.4361,0.48,0.52,43,44,49,-1,34,0.208
Tier 3,6,1,2,1,1,0.7516,0.5148,0.7218,0.3072,0.0697,0.756,0.5267,0.765,0.552,0.598,79,83,71,-4,91,0.92
Tier 4,11,12,4,0,0,0.5099,0.1922,0.5225,0.3719,0.1478,0.563,0.2324,0.4676,0.52,0.28,45,48,49,-3,48,0.257
Tier 2,10,15,5,0,0,0.3269,0.534,0.3288,0.1161,0.1232,0.3585,0.4969,0.2756,0.33,0.42,36,38,36,-2,34,0.17
Tier 3,11,22,4,0,0,0.5097,0.437,0.5579,0.269,0.2258,0.5481,0.3907,0.5932,0.48,0.52,50,49,49,1,61,0.533
Tier 3,7,7,6,1,0,0.8044,0.4978,0.4861,0.3116,0.1793,0.7746,0.4619,0.4947,0.552,0.598,83,72,71,11,95,0.897
Tier 4,12,9,5,0,0,0.5762,0.2545,0.4851,0.3754,0.1713,0.5499,0.2298,0.4767,0.52,0.28,54,48,49,6,63,0.602
Tier 2,7,8,5,1,0,0.624,0.6082,0.4659,0.2755,0.0613,0.5766,0.6226,0.398,0.3795,0.483,73,62,52,11,92,0.89
Tier 1,7,15,5,1,0,0.4876,0.4351,0.2061,0.2541,0.1801,0.4735,0.4616,0.1905,0.322,0.552,46,51,46,-5,50,0.27
Tier 4,8,11,3,1,0,0.7511,0.2817,0.4743,0.3213,0.2686,0.6911,0.3259,0.4631,0.598,0.322,70,67,70,3,83,0.9
Tier 1,2,6,5,0,0,0.3753,0.4042,0.2853,0.1745,0.0549,0.3756,0.417,0.3047,0.28,0.48,32,33,32,-1,31,0.141
Tier 1,6,20,2,1,1,0.5058,0.5059,0.4108,0.1259,0.1307,0.5067,0.4971,0.4371,0.322,0.552,57,52,46,5,65,0.602
Tier 1,4,17,0,0,1,0.282,0.3946,0.476,0.253,0.0788,0.2606,0.4745,0.5364,0.28,0.48,37,36,32,1,35,0.191
Tier 1,2,17,1,0,0,0.3889,0.4852,0.3342,0.2213,0.1714,0.4264,0.5068,0.2719,0.28,0.48,41,38,32,3,39,0.23
Tier 3,12,10,0,0,0,0.5932,0.4494,0.5483,0.2602,0.2361,0.5916,0.5345,0.5535,0.48,0.52,53,55,49,-2,59,0.594
Tier 1,10,10,2,0,0,0.3069,0.6285,0.3133,0.174,0.0638,0.3103,0.6377,0.3246,0.28,0.48,36,37,32,-1,36,0.169
Tier 2,11,10,5,0,0,0.3985,0.5014,0.3754,0.1635,0.1351,0.4822,0.5414,0.3974,0.33,0.42,39,45,36,-6,33,0.183
Tier 4,12,13,1,0,0,0.4883,0.3152,0.5296,0.3954,0.1896,0.5432,0.3125,0.5574,0.52,0.28,49,58,49,-9,48,0.27
Tier 1,10,19,3,0,0,0.3845,0.5108,0.2762,0.215,0.0978,0.2906,0.5293,0.2809,0.28,0.48,39,34,32,5,32,0.2
Tier 1,5,19,3,0,1,0.3028,0.4856,0.4712,0.1159,0.0917,0.2889,0.5285,0.4864,0.28,0.48,38,37,32,1,35,0.207
Tier 1,10,2,3,0,0,0.27,0.5779,0.3252,0.187,0.0916,0.2778,0.6259,0.359,0.28,0.48,34,37,32,-3,34,0.157
Tier 3,6,17,5,1,1,0.5972,0.4951,0.6548,0.3158,0.2615,0.5534,0.4775,0.6077,0.552,0.598,80,68,71,12,92,0.923
Tier 1,11,6,5,0,0,0.2231,0.4314,0.2132,0.1929,0.0561,0.2896,0.4478,0.2064,0.28,0.48,26,28,32,-2,19,0.111
Tier 2,12,9,0,0,0,0.2881,0.36,0.4026,0.2509,0.1125,0.3655,0.2902,0.405,0.33,0.42,37,34,36,3,32,0.185
Tier 2,4,8,0,0,1,0.3165,0.3965,0.4521,0.1229,0.1227,0.3004,0.3886,0.4477,0.33,0.42,38,33,36,5,33,0.236
Tier 1,9,13,5,1,0,0.432,0.4577,0.2766,0.1356,0.1015,0.4279,0.4394,0.2652,0.322,0.552,43,46,46,-3,52,0.189
Tier 2,12,16,0,0,0,0.3536,0.4227,0.4201,0.2618,0.1523,0.352,0.4053,0.3895,0.33,0.42,39,37,36,2,35,0.228
Tier 3,2,18,6,0,0,0.4859,0.5736,0.5682,0.2694,0.1924,0.4738,0.5411,0.5301,0.48,0.52,58,52,49,6,61,0.689
Tier 4,12,6,2,0,0,0.4761,0.3304,0.5017,0.423,0.1908,0.434,0.2986,0.4719,0.52,0.28,49,45,49,4,49,0.299
Tier 4,4,9,4,0,1,0.4402,0.3558,0.6413,0.3709,0.1208,0.4612,0.2756,0.6539,0.52,0.28,55,49,49,6,50,0.616
Tier 3,3,7,0,0,0,0.5035,0.5074,0.5203,0.2743,0.2117,0.4984,0.5161,0.5433,0.48,0.52,56,51,49,5,62,0.656
Tier 3,6,12,2,1,1,0.6979,0.5391,0.6275,0.3243,0.1688,0.6798,0.5833,0.6062,0.552,0.598,77,79,71,-2,89,0.863
Tier 1,7,0,2,1,0,0.4816,0.4679,0.2902,0.1886,0.1462,0.4633,0.461,0.2806,0.322,0.552,48,47,46,1,47,0.193
Tier 3,11,19,0,0,0,0.5018,0.4744,0.5201,0.2001,0.1477,0.4485,0.4917,0.5461,0.48,0.52,53,47,49,6,56,0.567
Tier 3,6,17,5,1,1,0.5787,0.5055,0.721,0.2692,0.0907,0.5544,0.4803,0.8066,0.552,0.598,78,73,71,5,87,0.936
Tier 2,1,12,1,0,0,0.262,0.4846,0.4357,0.2109,0.2084,0.2441,0.434,0.4748,0.33,0.42,37,36,36,1,40,0.163
Tier 4,5,10,1,0,1,0.5114,0.3742,0.7101,0.308,0.1627,0.4903,0.3446,0.7196,0.52,0.28,54,53,49,1,57,0.578
Tier 3,12,22,1,0,0,0.3567,0.5287,0.5505,0.1945,0.209,0.3322,0.5608,0.5569,0.48,0.52,46,46,49,0,47,0.24
Tier 1,11,2,1,0,0,0.2377,0.4859,0.2979,0.1897,0.0748,0.2106,0.4939,0.3001,0.28,0.48,30,30,32,0,22,0.139
Tier 4,2,6,4,0,0,0.4224,0.3049,0.4196,0.2907,0.1983,0.4842,0.262,0.4201,0.52,0.28,42,44,49,-2,42,0.243
Tier 3,1,0,4,0,0,0.5319,0.4475,0.5016,0.3309,0.1226,0.5087,0.4153,0.5325,0.48,0.52,50,49,49,1,52,0.498
Tier 4,8,6,0,1,0,0.6859,0.2946,0.4514,0.3607,0.1937,0.636,0.2415,0.4043,0.598,0.322,66,61,70,5,77,0.829
Tier 3,8,14,3,1,0,0.6345,0.5835,0.4535,0.307,0.1702,0.6495,0.5749,0.4692,0.552,0.598,70,79,71,-9,78,0.847
Tier 1,1,12,3,0,0,0.2216,0.5441,0.3107,0.1855,0.0368,0.2242,0.5032,0.2757,0.28,0.48,31,29,32,2,30,0.172
Tier 3,5,2,1,0,1,0.3847,0.5196,0.6182,0.1881,0.181,0.3747,0.5401,0.6214,0.48,0.52,48,48,49,0,39,0.238
Tier 4,8,0,4,1,0,0.6142,0.2253,0.5515,0.2735,0.1346,0.7095,0.1709,0.6175,0.598,0.322,61,65,70,-4,73,0.76
Tier 1,3,4,6,0,0,0.2112,0.4494,0.3708,0.1973,0.1661,0.2318,0.5217,0.378,0.28,0.48,31,34,32,-3,28,0.18
Tier 4,12,21,6,0,0,0.5342,0.3273,0.5767,0.3757,0.2501,0.4938,0.3053,0.6104,0.52,0.28,53,51,49,2,57,0.561
Tier 2,2,20,1,0,0,0.2772,0.3706,0.4085,0.3149,0.0181,0.2704,0.3892,0.4397,0.33,0.42,37,36,36,1,35,0.224
Tier 2,10,9,0,0,0,0.2912,0.4235,0.3072,0.2741,0.1328,0.3055,0.4109,0.3307,0.33,0.42,37,34,36,3,32,0.184
Tier 1,11,17,3,0,0,0.3196,0.5918,0.3382,0.2405,0.0032,0.4001,0.616,0.3362,0.28,0.48,40,40,32,0,35,0.257
Tier 1,4,5,1,0,1,0.2207,0.4195,0.4279,0.1081,0.1009,0.2642,0.3951,0.3729,0.28,0.48,30,29,32,1,31,0.136
Tier 3,6,8,0,1,1,0.6644,0.511,0.6353,0.2564,0.1467,0.5904,0.4884,0.6639,0.552,0.598,80,70,71,10,94,0.899
Tier 4,9,21,3,1,0,0.6397,0.1809,0.5931,0.3276,0.1472,0.5494,0.165,0.6093,0.598,0.322,63,58,70,5,72,0.797
Tier 3,7,7,1,1,0,0.5964,0.4815,0.5526,0.3097,0.1907,0.5705,0.4827,0.5311,0.552,0.598,75,65,71,10,88,0.898
Tier 3,10,9,5,0,0,0.4989,0.5291,0.5065,0.2647,0.1511,0.4663,0.4725,0.4616,0.48,0.52,55,46,49,9,48,0.631
Tier 2,7,23,1,1,0,0.5435,0.3929,0.5163,0.1211,0.1985,0.539,0.4243,0.5207,0.3795,0.483,55,60,52,-5,67,0.534
Tier 1,10,9,5,0,0,0.3966,0.4987,0.3603,0.1101,0.1414,0.4402,0.5088,0.3599,0.28,0.48,40,37,32,3,36,0.217
Tier 4,4,11,5,0,1,0.469,0.3139,0.6197,0.3343,0.257,0.4409,0.3399,0.6418,0.52,0.28,50,51,49,-1,48,0.533
Tier 2,8,11,3,1,0,0.6376,0.4055,0.4187,0.1817,0.078,0.6298,0.351,0.3812,0.3795,0.483,57,54,52,3,70,0.649
Tier 4,1,23,3,0,0,0.6311,0.3115,0.5869,0.3741,0.2387,0.6777,0.3382,0.5953,0.52,0.28,56,65,49,-9,59,0.599
Tier 3,5,11,2,0,1,0.5655,0.6319,0.5743,0.2399,0.2486,0.5869,0.6589,0.6101,0.48,0.52,58,60,49,-2,69,0.634
Tier 1,5,9,3,0,1,0.2989,0.5543,0.45,0.1892,0.1124,0.2875,0.5813,0.4227,0.28,0.48,41,38,32,3,36,0.256
Tier 3,1,11,6,0,0,0.4901,0.4766,0.5463,0.3097,0.0737,0.4691,0.4878,0.4599,0.48,0.52,49,47,49,2,43,0.253
Tier 2,9,8,3,1,0,0.5304,0.3485,0.4352,0.2703,0.1226,0.5225,0.3776,0.4271,0.3795,0.483,58,52,52,6,66,0.648
Tier 4,8,2,2,1,0,0.8075,0.272,0.5201,0.3806,0.2503,0.7707,0.2695,0.5216,0.598,0.322,74,73,70,1,92,0.865
Tier 1,4,10,4,0,1,0.3388,0.551,0.4996,0.141,0.1999,0.2511,0.5237,0.5464,0.28,0.48,40,38,32,2,33,0.167
Tier 2,11,4,5,0,0,0.2981,0.445,0.3667,0.1906,0.2252,0.3586,0.4285,0.2983,0.33,0.42,36,34,36,2,35,0.182
Tier 3,3,2,4,0,0,0.4757,0.4717,0.5193,0.3807,0.047,0.4726,0.4329,0.4597,0.48,0.52,49,46,49,3,48,0.289
Tier 4,11,20,4,0,0,0.5205,0.1745,0.5057,0.2668,0.1476,0.5437,0.1823,0.5292,0.52,0.28,47,44,49,3,51,0.269
Tier 4,3,23,2,0,0,0.5407,0.2676,0.5327,0.3489,0.3158,0.5505,0.2675,0.5232,0.52,0.28,50,57,49,-7,55,0.465
Tier 3,9,23,6,1,0,0.6259,0.509,0.5609,0.265,0.1444,0.5555,0.5695,0.5837,0.552,0.598,69,77,71,-8,79,0.883
Tier 4,3,17,5,0,0,0.6093,0.2908,0.5553,0.4022,0.2586,0.6042,0.2894,0.5864,0.52,0.28,60,56,49,4,67,0.718
Tier 1,3,15,3,0,0,0.2532,0.4451,0.3668,0.1455,0.0988,0.3084,0.494,0.3789,0.28,0.48,31,37,32,-6,31,0.154
Tier 1,3,2,2,0,0,0.2465,0.5529,0.3309,0.1454,0.1287,0.2854,0.5126,0.3229,0.28,0.48,33,33,32,0,32,0.148
Tier 2,8,22,3,1,0,0.4404,0.4819,0.3128,0.2363,0.1321,0.4469,0.548,0.4343,0.3795,0.483,50,55,52,-5,52,0.531
Tier 1,6,10,0,1,1,0.5374,0.5646,0.4871,0.1266,0.1557,0.5422,0.5552,0.468,0.322,0.552,57,58,46,-1,64,0.659
Tier 1,8,13,2,1,0,0.4577,0.392,0.3289,0.13,0.0053,0.4264,0.3509,0.303,0.322,0.552,42,42,46,0,42,0.221
Tier 4,1,11,5,0,0,0.5556,0.2956,0.5059,0.3343,0.1698,0.5231,0.3238,0.4355,0.52,0.28,49,47,49,2,56,0.202
Tier 4,11,19,5,0,0,0.5207,0.3006,0.4057,0.2855,0.2145,0.5413,0.3079,0.4281,0.52,0.28,50,45,49,5,56,0.463
Tier 3,7,15,3,1,0,0.6281,0.5759,0.4913,0.2459,0.1381,0.6529,0.5844,0.4428,0.552,0.598,69,75,71,-6,76,0.896
Tier 4,2,9,0,0,0,0.6106,0.2889,0.484,0.2644,0.1336,0.6257,0.3469,0.4682,0.52,0.28,53,50,49,3,56,0.568
Tier 4,6,3,1,1,1,0.7225,0.2554,0.6691,0.4558,0.2563,0.7662,0.2187,0.7129,0.598,0.322,76,78,70,-2,88,0.885
Tier 2,12,0,6,0,0,0.2373,0.4278,0.4123,0.2291,0.1335,0.224,0.5265,0.365,0.33,0.42,34,36,36,-2,29,0.169
Tier 2,6,7,2,1,1,0.4464,0.3843,0.5272,0.1269,0.1704,0.4079,0.3262,0.484,0.3795,0.483,56,47,52,9,60,0.597
Tier 3,3,12,1,0,0,0.459,0.5562,0.5133,0.2392,0.0985,0.4839,0.5783,0.5019,0.48,0.52,49,50,49,-1,44,0.245
Tier 3,6,20,0,1,1,0.7111,0.5386,0.6605,0.2344,0.2749,0.6974,0.5338,0.6078,0.552,0.598,86,76,71,10,99,0.947
Tier 4,5,10,2,0,1,0.5512,0.2966,0.6432,0.3103,0.2782,0.5893,0.2535,0.6721,0.52,0.28,53,54,49,-1,60,0.529
Tier 4,3,8,0,0,0,0.3742,0.2704,0.5355,0.3431,0.392,0.3894,0.2763,0.5527,0.52,0.28,50,47,49,3,49,0.509
Tier 2,5,19,2,0,1,0.2926,0.3261,0.4999,0.237,0.1133,0.3042,0.3168,0.5171,0.33,0.42,38,35,36,3,34,0.144
Tier 2,6,14,2,1,1,0.5201,0.5122,0.4425,0.2272,0.1879,0.6121,0.4925,0.4172,0.3795,0.483,58,67,52,-9,66,0.649
Tier 1,3,7,6,0,0,0.1691,0.533,0.3895,0.2307,0.0037,0.1933,0.4661,0.3918,0.28,0.48,34,30,32,4,33,0.17
Tier 4,1,4,5,0,0,0.4023,0.3121,0.5259,0.2958,0.1258,0.4639,0.3614,0.5541,0.52,0.28,43,46,49,-3,43,0.226
Tier 3,5,4,5,0,1,0.4575,0.5875,0.6809,0.2906,0.1821,0.4596,0.6147,0.6466,0.48,0.52,55,55,49,0,57,0.616
Tier 2,10,0,4,0,0,0.2887,0.4248,0.3288,0.3102,0.2374,0.3166,0.4871,0.3348,0.33,0.42,36,40,36,-4,33,0.182
Tier 1,5,6,3,0,1,0.336,0.5188,0.4247,0.0488,0.0895,0.2521,0.4791,0.3897,0.28,0.48,35,30,32,5,36,0.19
Tier 1,2,18,6,0,0,0.318,0.5194,0.1702,0.1806,0.0,0.3383,0.4356,0.163,0.28,0.48,33,29,32,4,33,0.18
Tier 4,10,1,5,0,0,0.5428,0.3219,0.4984,0.3591,0.2206,0.5423,0.295,0.4487,0.52,0.28,50,48,49,2,53,0.526
Tier 3,6,23,3,1,1,0.6097,0.5097,0.7,0.3345,0.253,0.586,0.5411,0.6575,0.552,0.598,76,82,71,-6,85,0.889
Tier 2,8,11,5,1,0,0.5004,0.3611,0.4314,0.2091,0.1521,0.5069,0.3632,0.4351,0.3795,0.483,51,52,52,-1,64,0.521
Tier 4,11,3,5,0,0,0.4932,0.2729,0.5451,0.44,0.1376,0.5196,0.3179,0.4856,0.52,0.28,49,49,49,0,48,0.234
Tier 1,12,1,5,0,0,0.2722,0.4553,0.3632,0.1937,0.1139,0.2786,0.4782,0.3527,0.28,0.48,32,34,32,-2,24,0.106
Tier 4,2,6,0,0,0,0.3952,0.3204,0.5531,0.4225,0.1566,0.425,0.3227,0.5597,0.52,0.28,47,48,49,-1,52,0.275
Tier 3,3,3,5,0,0,0.4481,0.4546,0.4747,0.2909,0.2439,0.4013,0.466,0.4136,0.48,0.52,47,45,49,2,50,0.189
Tier 3,9,4,3,1,0,0.7622,0.4178,0.4004,0.1794,0.195,0.7153,0.3638,0.4085,0.552,0.598,66,63,71,3,76,0.875
Tier 3,8,15,1,1,0,0.6888,0.5683,0.4886,0.2141,0.213,0.6625,0.5647,0.5008,0.552,0.598,72,75,71,-3,85,0.88
Tier 4,6,14,0,1,1,0.683,0.29,0.6469,0.3751,0.2169,0.691,0.2619,0.6546,0.598,0.322,73,80,70,-7,86,0.898
Tier 3,2,11,4,0,0,0.5241,0.5277,0.478,0.301,0.2528,0.5335,0.5469,0.4633,0.48,0.52,52,54,49,-2,58,0.536
Tier 2,1,21,6,0,0,0.3887,0.3836,0.273,0.2243,0.2114,0.4523,0.3793,0.2748,0.33,0.42,35,38,36,-3,34,0.172
Tier 1,2,14,0,0,0,0.3407,0.5234,0.3686,0.1677,0.2156,0.36,0.5333,0.3382,0.28,0.48,37,41,32,-4,32,0.176
Tier 3,5,17,4,0,1,0.4701,0.5234,0.5242,0.2719,0.1574,0.4692,0.5648,0.6063,0.48,0.52,55,53,49,2,51,0.618
Tier 3,11,6,0,0,0,0.509,0.5792,0.4742,0.2582,0.2851,0.5113,0.5386,0.5332,0.48,0.52,53,50,49,3,61,0.587
Tier 3,3,18,5,0,0,0.5048,0.4419,0.4765,0.2633,0.1478,0.5613,0.4,0.4891,0.48,0.52,52,49,49,3,61,0.557
Tier 4,5,4,0,0,1,0.5458,0.302,0.7068,0.3269,0.1419,0.5839,0.3485,0.7169,0.52,0.28,53,55,49,-2,59,0.52
Tier 3,12,9,6,0,0,0.3907,0.5188,0.4342,0.3007,0.1704,0.3664,0.4506,0.4001,0.48,0.52,50,41,49,9,47,0.466
Tier 3,8,4,4,1,0,0.6702,0.5344,0.4304,0.3055,0.0983,0.6257,0.5299,0.4579,0.552,0.598,68,69,71,-1,77,0.856
Tier 3,3,3,6,0,0,0.418,0.4448,0.4937,0.2334,0.2539,0.3595,0.4642,0.4535,0.48,0.52,46,43,49,3,41,0.215
Tier 1,1,7,2,0,0,0.2313,0.5871,0.283,0.1831,0.0879,0.2401,0.5625,0.2749,0.28,0.48,36,32,32,4,37,0.216
Tier 2,8,2,2,1,0,0.5664,0.4242,0.2006,0.2455,0.1165,0.5565,0.3483,0.2203,0.3795,0.483,50,47,52,3,63,0.486
Tier 3,9,16,1,1,0,0.753,0.4752,0.516,0.2017,0.2419,0.788,0.4939,0.5003,0.552,0.598,72,73,71,-1,86,0.904
Tier 3,6,15,1,1,1,0.5868,0.4525,0.7052,0.3093,0.106,0.5162,0.4275,0.6311,0.552,0.598,70,72,71,-2,76,0.894
Tier 3,5,9,3,0,1,0.5587,0.5649,0.6211,0.2712,0.1106,0.548,0.5747,0.6653,0.48,0.52,61,56,49,5,64,0.727
Tier 4,2,13,3,0,0,0.567,0.3178,0.4498,0.3588,0.1794,0.6075,0.3113,0.389,0.52,0.28,49,54,49,-5,55,0.23
